# aggregate-interference-1-cluster-0.25-TDD
x,y
-154.94523782892426,0.2111
-154.84428324331674,0.2155
-154.74332865770924,0.2195
-154.64237407210172,0.2246
-154.5414194864942,0.2298
-154.44046490088667,0.2337
-154.33951031527917,0.2378
-154.23855572967165,0.2439
-154.13760114406412,0.2504
-154.03664655845662,0.2565
-153.9356919728491,0.2645
-153.83473738724157,0.2737
-153.73378280163408,0.2817
-153.63282821602655,0.2928
-153.53187363041903,0.3058
-153.43091904481153,0.3188
-153.329964459204,0.3326
-153.22900987359648,0.3467
-153.12805528798899,0.3643
-153.02710070238146,0.3816
-152.92614611677394,0.401
-152.82519153116644,0.4219
-152.7242369455589,0.4434
-152.6232823599514,0.467
-152.5223277743439,0.493
-152.42137318873637,0.5189
-152.32041860312884,0.5477
-152.21946401752132,0.5741
-152.11850943191382,0.6049
-152.0175548463063,0.6351
-151.91660026069877,0.6642
-151.81564567509128,0.6943
-151.71469108948375,0.7241
-151.61373650387623,0.7521
-151.51278191826873,0.7799
-151.4118273326612,0.8037
-151.31087274705368,0.828
-151.20991816144618,0.8502
-151.10896357583866,0.8727
-151.00800899023113,0.89
-150.90705440462364,0.9061
-150.8060998190161,0.9198
-150.7051452334086,0.9341
-150.6041906478011,0.9454
-150.50323606219357,0.9566
-150.40228147658604,0.9644
-150.30132689097854,0.9708
-150.20037230537102,0.9772
-150.0994177197635,0.9824
-149.998463134156,0.9863
-149.89750854854847,0.9892
-149.79655396294095,0.9919
-149.69559937733345,0.9939
-149.59464479172593,0.9952
-149.4936902061184,0.9965
-149.3927356205109,0.9973
-149.29178103490338,0.9983
-149.19082644929586,0.9987
-149.08987186368833,0.999
-148.98891727808083,0.9993
-148.8879626924733,0.9994
-148.78700810686578,0.9994
-148.6860535212583,0.9994
-148.58509893565076,0.9996
-148.48414435004324,0.9997
-148.38318976443574,1.0
